"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Abbeville County, South Carolina",-164.89999999999998,-164.89999999999998,0.0,0.0,1.0,13492.0,"","","","","",3971.0
"Acadia Parish, Louisiana",-1780.1338766813278,-2475.779175847769,-647.019607847993,-744.2709904610238,0.0,34432.0,-275.46116677443206,-337.81362314159924,-62.35245636716335,-62.35245636716335,0.0,7885.0
"Accomack County, Virginia",-150.0042109042406,-263.1833748817444,-101.20895281172125,-125.14937513355108,0.0,18488.0,-45.04285714285714,-45.04285714285714,0.0,0.0,1.0,5339.0
"Ada County, Idaho",5591.460714285714,5591.460714285714,0.0,0.0,1.0,319232.0,2268.6642857142856,2268.6642857142856,0.0,0.0,1.0,88463.0
"Adair County, Iowa",-75.85357142857143,-75.85357142857143,0.0,0.0,1.0,4560.0,142.0082654785365,192.73793042078614,47.49531351329097,53.9640163792119,0.0,1624.0
"Adair County, Kentucky","","","","","",11587.0,"","","","","",2589.0
"Adair County, Missouri",206.37894311572018,245.38912411119964,39.0101809954743,39.0101809954743,0.0,12837.0,-315.9147020056844,-477.84327345341444,-151.09599225936836,-172.7611506303365,0.0,6919.0
"Adair County, Oklahoma",-232.6107142857143,-232.6107142857143,0.0,0.0,1.0,11226.0,47.467857142857135,47.467857142857135,0.0,0.0,1.0,2630.0
"Adams County, Colorado",4129.757142857142,4129.757142857142,0.0,0.0,1.0,318582.0,1673.935714285714,1673.935714285714,0.0,0.0,1.0,75668.0
"Adams County, Idaho",158.89752747253078,181.05961538461997,22.16208791208796,22.16208791208796,0.0,2963.0,23.160714285714285,23.160714285714285,0.0,0.0,1.0,883.0
"Adams County, Illinois",-734.6350840336236,-820.0867647058913,-85.4516806722686,-85.4516806722686,0.0,39062.0,252.47310924369958,280.2210084033577,27.74789915966327,27.74789915966327,0.0,12213.0
"Adams County, Indiana",557.4492700099945,809.862246721983,234.68842919338204,270.13752421722165,0.0,26002.0,-24.353943115715083,-38.9712669683322,-14.617323852618247,-14.617323852618247,0.0,4247.0
