"","married-slope_2022","married-slope_2023","married-acc_2022","married-acc_2023","married-steady_slope","married-val_2022","unmarried-slope_2022","unmarried-slope_2023","unmarried-acc_2022","unmarried-acc_2023","unmarried-steady_slope","unmarried-val_2022"
"Abbeville County, South Carolina",-28465537898927.74,-28479615810846.1,-14077911918.362326,-14077911918.362326,1.0,13492.0,0.0,0.0,0.0,0.0,0.0,3971.0
"Acadia Parish, Louisiana",-128642936.4002563,-128642936.4002563,0.0,0.0,1.0,34432.0,0.0,0.0,0.0,0.0,0.0,7885.0
"Accomack County, Virginia","","","","","",18488.0,-40585537642860.57,-40605609619934.19,-20071977073.620808,-20071977073.620808,1.0,5339.0
"Ada County, Idaho",0.0,0.0,0.0,0.0,0.0,319232.0,0.0,0.0,0.0,0.0,0.0,88463.0
"Adair County, Iowa",-15586969952165.674,-15594678641558.438,-7708689392.762927,-7708689392.762927,1.0,4560.0,0.0,0.0,0.0,0.0,0.0,1624.0
"Adair County, Kentucky",-42456053.24113904,-42456053.24113904,0.0,0.0,1.0,11587.0,-43428776777622.3,-43450254906592.44,-21478128970.139656,-21478128970.139656,1.0,2589.0
"Adair County, Missouri",-90640607006524.88,-90685434210781.31,-44827204256.44188,-44827204256.44188,1.0,12837.0,0.0,0.0,0.0,0.0,0.0,6919.0
"Adair County, Oklahoma",-49620976.785200834,-49620976.785200834,0.0,0.0,1.0,11226.0,0.0,0.0,0.0,0.0,0.0,2630.0
"Adams County, Colorado",0.0,0.0,0.0,0.0,0.0,318582.0,0.0,0.0,0.0,0.0,0.0,75668.0
"Adams County, Idaho",0.0,0.0,0.0,0.0,0.0,2963.0,0.0,0.0,0.0,0.0,0.0,883.0
"Adams County, Illinois",-173158959.41270998,-173158959.41270998,0.0,0.0,1.0,39062.0,0.0,0.0,0.0,0.0,0.0,12213.0
"Adams County, Indiana",-195771291368723.3,-195868111987600.03,-96820618876.71783,-96820618876.71783,1.0,26002.0,0.0,0.0,0.0,0.0,0.0,4247.0
"Adams County, Iowa",-10869740.076017503,-10869740.076017503,0.0,0.0,1.0,2371.0,0.0,0.0,0.0,0.0,0.0,731.0
"Adams County, Mississippi",-128043841059188.7,-128107166400958.83,-63325341770.12333,-63325341770.12333,1.0,12489.0,-4592750132287.367,-4595021522065.947,-2271389778.5795426,-2271389778.5795426,1.0,5508.0
"Adams County, Nebraska","","","","","",18211.0,0.0,0.0,0.0,0.0,0.0,5710.0
"Adams County, North Dakota",-24022884.028501257,-24022884.028501257,0.0,0.0,1.0,1500.0,0.0,0.0,0.0,0.0,0.0,418.0
"Adams County, Ohio",-213856611416633.94,-213962376308531.4,-105764891897.44545,-105764891897.44545,1.0,17450.0,-62158120.01670137,-62158120.01670137,0.0,0.0,1.0,3487.0
"Adams County, Pennsylvania",0.0,0.0,0.0,0.0,0.0,68373.0,0.0,0.0,0.0,0.0,0.0,14811.0
"Adams County, Washington",0.0,0.0,0.0,0.0,0.0,13089.0,0.0,0.0,0.0,0.0,0.0,1765.0
"Adams County, Wisconsin",-61253761924117.04,-61284055574920.26,-30293650803.223404,-30293650803.223404,1.0,12035.0,0.0,0.0,0.0,0.0,0.0,4659.0
"Addison County, Vermont","","","","","",22245.0,0.0,0.0,0.0,0.0,0.0,7011.0
"Adjuntas Municipio, Puerto Rico",-70358624726155.23,-70393421276464.89,-34796550309.6717,-34796550309.6717,1.0,7782.0,0.0,0.0,0.0,0.0,0.0,2268.0
"Aguada Municipio, Puerto Rico","","","","","",19547.0,0.0,0.0,0.0,0.0,0.0,5110.0
"Aguadilla Municipio, Puerto Rico",-47034048477734.266,-47057309629305.84,-23261151571.580235,-23261151571.580235,1.0,23988.0,0.0,0.0,0.0,0.0,0.0,8526.0
"Aguas Buenas Municipio, Puerto Rico","","","","","",10924.0,0.0,0.0,0.0,0.0,0.0,2792.0
"Aibonito Municipio, Puerto Rico","","","","","",10157.0,0.0,0.0,0.0,0.0,0.0,3705.0
"Aiken County, South Carolina",0.0,0.0,0.0,0.0,0.0,102042.0,0.0,0.0,0.0,0.0,0.0,27399.0
"Aitkin County, Minnesota",-4320298.957030185,-4320298.957030185,0.0,0.0,1.0,9617.0,0.0,0.0,0.0,0.0,0.0,3103.0
"Alachua County, Florida",0.0,0.0,0.0,0.0,0.0,128721.0,0.0,0.0,0.0,0.0,0.0,80808.0
"Alamance County, North Carolina",0.0,0.0,0.0,0.0,0.0,98714.0,0.0,0.0,0.0,0.0,0.0,29215.0
"Alameda County, California",0.0,0.0,0.0,0.0,0.0,1011737.0,0.0,0.0,0.0,0.0,0.0,291376.0
"Alamosa County, Colorado",-35147382.11381707,-35147382.11381707,0.0,0.0,1.0,8893.0,0.0,0.0,0.0,0.0,0.0,2917.0
"Albany County, New York",0.0,0.0,0.0,0.0,0.0,159163.0,0.0,0.0,0.0,0.0,0.0,75919.0
"Albany County, Wyoming",0.0,0.0,0.0,0.0,0.0,18168.0,0.0,0.0,0.0,0.0,0.0,12282.0
"Albemarle County, Virginia",0.0,0.0,0.0,0.0,0.0,65562.0,0.0,0.0,0.0,0.0,0.0,21941.0
"Alcona County, Michigan",-43981050823622.23,-44002802085157.15,-21751261534.927387,-21751261534.927387,1.0,6278.0,0.0,0.0,0.0,0.0,0.0,2189.0
"Alcorn County, Mississippi",-85655310.52008955,-85655310.52008955,0.0,0.0,1.0,19027.0,0.0,0.0,0.0,0.0,0.0,6163.0
"Aleutians East Borough, Alaska",0.0,0.0,0.0,0.0,0.0,1063.0,0.0,0.0,0.0,0.0,0.0,458.0
"Aleutians West Census Area, Alaska",0.0,0.0,0.0,0.0,0.0,2066.0,0.0,0.0,0.0,0.0,0.0,1007.0
"Alexander County, Illinois",-7600217.931478102,-7600217.931478102,0.0,0.0,1.0,2469.0,"","","","","",854.0
"Alexander County, North Carolina","","","","","",23769.0,-116137632466949.67,-116195069476082.69,-57437009133.011826,-57437009133.011826,1.0,5056.0
"Alexandria city, Virginia",0.0,0.0,0.0,0.0,0.0,79034.0,0.0,0.0,0.0,0.0,0.0,50772.0
"Alfalfa County, Oklahoma","","","","","",3163.0,-9036757.17878939,-9036757.17878939,0.0,0.0,1.0,619.0
"Alger County, Michigan",0.0,0.0,0.0,0.0,0.0,5441.0,-27321862353012.13,-27335374648933.5,-13512295921.371181,-13512295921.371181,1.0,1368.0
"Allamakee County, Iowa",-20853950.151892908,-20853950.151892908,0.0,0.0,1.0,9140.0,0.0,0.0,0.0,0.0,0.0,2788.0
"Allegan County, Michigan",0.0,0.0,0.0,0.0,0.0,82348.0,0.0,0.0,0.0,0.0,0.0,14572.0
"Allegany County, Maryland",-142392160.51810983,-142392160.51810983,0.0,0.0,1.0,34693.0,0.0,0.0,0.0,0.0,0.0,14447.0
"Allegany County, New York",-121542995767157.08,-121603106051908.39,-60110284751.31452,-60110284751.31452,1.0,26817.0,0.0,0.0,0.0,0.0,0.0,8026.0
"Alleghany County, North Carolina",0.0,0.0,0.0,0.0,0.0,7229.0,0.0,0.0,0.0,0.0,0.0,2070.0
"Alleghany County, Virginia",-124655650180917.03,-124717299859542.61,-61649678625.5776,-61649678625.5776,1.0,9112.0,0.0,0.0,0.0,0.0,0.0,2789.0
"Allegheny County, Pennsylvania",-192666902468512.3,-192762187781305.84,-95285312793.5277,-95285312793.5277,1.0,673563.0,0.0,0.0,0.0,0.0,0.0,300156.0
"Allen County, Indiana",0.0,0.0,0.0,0.0,0.0,227211.0,0.0,0.0,0.0,0.0,0.0,68610.0
"Allen County, Kansas","","","","","",7021.0,-43229041.42449448,-43229041.42449448,0.0,0.0,1.0,1860.0
"Allen County, Kentucky",0.0,0.0,0.0,0.0,0.0,13168.0,-3794968.4197262228,-3794968.4197262228,0.0,0.0,1.0,2646.0
"Allen County, Ohio","","","","","",53931.0,0.0,0.0,0.0,0.0,0.0,19950.0
"Allen Parish, Louisiana",-26406332.49249013,-26406332.49249013,0.0,0.0,1.0,10637.0,-33382524.177519914,-33382524.177519914,0.0,0.0,1.0,2483.0
"Allendale County, South Carolina",-10629140.241578212,-10629140.241578212,0.0,0.0,1.0,2595.0,0.0,0.0,0.0,0.0,0.0,1548.0
"Alpena County, Michigan",-6811161.114612015,-6811161.114612015,0.0,0.0,1.0,15674.0,0.0,0.0,0.0,0.0,0.0,6641.0
